Association Id,Association Name,Club Id,Club Name
4226,University of New South Wales Touch - Social,13146,General Club
4226,University of New South Wales Touch - Social,270732,Referee's
4231,Touch Football South Australia,204901,TFSA League Referees
4231,Touch Football South Australia,10477,General Club
4231,Touch Football South Australia,10479,Eastern Stingrays
4231,Touch Football South Australia,10478,Central Scorpions
4231,Touch Football South Australia,10481,South West Wolves
4231,Touch Football South Australia,250470,South Australian Coaches
4231,Touch Football South Australia,12558,Colley Reserve
4231,Touch Football South Australia,207811,SA Ignite Talent Academy
4231,Touch Football South Australia,270266,17th Australian Masters Games
4231,Touch Football South Australia,256248,yourPodiatrist Cup
4231,Touch Football South Australia,205552,SA Heat
4231,Touch Football South Australia,10480,Northern Vipers
4236,City Touch Association,10221,Dodgers Men
4236,City Touch Association,10232,Gregan's Grogan's (Men)
4236,City Touch Association,10264,Arab Steed Pornstars
4236,City Touch Association,10247,YOBS
4236,City Touch Association,10235,Spank
4236,City Touch Association,10218,The A Team - Thurs
4236,City Touch Association,10258,Red Hot Chillis
4236,City Touch Association,10234,The Charlatans
4236,City Touch Association,10337,The A Team (Botanics)
4236,City Touch Association,32366,AUTC
4236,City Touch Association,10280,Team Pelican
4236,City Touch Association,10273,Summer of Steak
4236,City Touch Association,10254,Dodgers
4236,City Touch Association,63792,Randoms
4236,City Touch Association,20820,Champions of the World
4236,City Touch Association,10341,Anythingoes
4236,City Touch Association,10277,Gutsliders
4236,City Touch Association,205354,Referees
4236,City Touch Association,70415,Skillmatic
4236,City Touch Association,44762,Linebreakers
4236,City Touch Association,219795,Individual Players
4236,City Touch Association,230209,Junior SA Players
4236,City Touch Association,44760,Shufflers
4236,City Touch Association,256328,Term 1 Junior Training Program
4236,City Touch Association,95083,The Backhanders
4236,City Touch Association,92469,Campese Goose Step
4236,City Touch Association,248600,SA Heat
4236,City Touch Association,207630,City Touch Junior's
4236,City Touch Association,238435,CITY TOUCH
4552,Bilambil Touch Association,99190,Write On T-Shirts
4552,Bilambil Touch Association,99192,Solo Gold
4552,Bilambil Touch Association,203098,West Tweed Silly Gulls
4552,Bilambil Touch Association,99201,The LPGers
4552,Bilambil Touch Association,99463,Kozii Swimwear
4552,Bilambil Touch Association,99204,Referees
4552,Bilambil Touch Association,203095,Coast Formwork
4552,Bilambil Touch Association,99197,Raiders
4552,Bilambil Touch Association,99206,Association Officials
4552,Bilambil Touch Association,203100,O'brien Glass
4552,Bilambil Touch Association,224041,Peter Wall Builder
4552,Bilambil Touch Association,227359,Steelers
4552,Bilambil Touch Association,231025,Border Rock Walls
4552,Bilambil Touch Association,235015,LPGERS
4552,Bilambil Touch Association,231027,Tweed Coasters
4554,Ormeau Touch Association,266643,General Club
4556,Redlands Touch Association,268795,Tuesday Ladies Social Competition
4556,Redlands Touch Association,254007,Redlands Crushers
4556,Redlands Touch Association,251675,Ormiston College Touch Club
4556,Redlands Touch Association,95960,Redlands Touch Club - DO NOT REMOVE
4556,Redlands Touch Association,40378,General Club
4556,Redlands Touch Association,40669,"Redlands Referees Club "
4556,Redlands Touch Association,267209,Tuesday Ladies Social Development
4556,Redlands Touch Association,268109,2019 JSC Referees
4556,Redlands Touch Association,269432,Coach Club
4556,Redlands Touch Association,269612,2019 RTA Senior State Cup EOI
4557,Redlands Juniors Touch Association,251518,St Rita's School Touch Club
4557,Redlands Juniors Touch Association,255389,Junior Rep & Development
4557,Redlands Juniors Touch Association,251067,Junior Referees
4557,Redlands Juniors Touch Association,271020,Coach Course Feb 8 2020
4557,Redlands Juniors Touch Association,203794,Redbacks
4557,Redlands Juniors Touch Association,269196,Lil Snipers
4557,Redlands Juniors Touch Association,268822,S1 2020 Looking for a team
4557,Redlands Juniors Touch Association,251406,Sheldon College Junior Touch
4557,Redlands Juniors Touch Association,253223,"Mini Muddies "
4559,Palm Beach Touch Association,169519,MIAMI HIGH
4559,Palm Beach Touch Association,252647,MARYMOUNT
4559,Palm Beach Touch Association,85556,Finishing Touch Renovations
4559,Palm Beach Touch Association,204761,The Battlers
4559,Palm Beach Touch Association,89238,Palm Beach Referees
4559,Palm Beach Touch Association,189900,Phantom Magic
4559,Palm Beach Touch Association,230476,1. INFERNO SUPER SERIES MEN
4559,Palm Beach Touch Association,254599,Misfits
4559,Palm Beach Touch Association,169539,Nevilles
4559,Palm Beach Touch Association,218509,Cool Running
4559,Palm Beach Touch Association,91241,Referee Club
4559,Palm Beach Touch Association,230477,"2. INFERNO SUPER SERIES WOMEN "
4559,Palm Beach Touch Association,254445,The Heat
4559,Palm Beach Touch Association,254524,Old Skool
4559,Palm Beach Touch Association,267666,SEE CIVIL
4559,Palm Beach Touch Association,237169,Capital Pest Control
4559,Palm Beach Touch Association,269805,Divvy Drifters
4559,Palm Beach Touch Association,251429,Bisley Boys
4559,Palm Beach Touch Association,254531,Calm a Llama Down
4559,Palm Beach Touch Association,254392,Club Team
4559,Palm Beach Touch Association,254526,Moist Grapes
4559,Palm Beach Touch Association,254541,Touchy Feelys
4559,Palm Beach Touch Association,251542,St Andrews
4559,Palm Beach Touch Association,269355,CYCLONES
4559,Palm Beach Touch Association,254604,Average Joes
4559,Palm Beach Touch Association,268848,GUGC Touch
4559,Palm Beach Touch Association,254576,Mixed Bunch
4559,Palm Beach Touch Association,254597,Allied Forces
4559,Palm Beach Touch Association,269256,ORCAS
