Association Id,Association Name
1566,Bowker St Community Oval Auskick Centre
1567,Bridgewater FC Auskick Centre
1568,Brighton PS Auskick Centre
1570,Broadview FC Auskick Centre
1572,Broughton Mundoora FC Auskick Centre
1574,Burnside Auskick Centre
1577,Bute FC Auskick Centre
1583,Central District FC Auskick Centre
1587,Christies Beach FC Auskick Centre
1589,Cleve AS Auskick Centre
1590,Cobdogla FC Auskick Centre
1592,Compton PS Auskick Centre
1596,Cowell FC Auskick Centre
1597,Craigburn PS Auskick Centre
1601,Cy Cougars FC Auskick Centre
1602,Dudley United FC Auskick Centre
1605,Eastern Park FC (T1) Auskick Centre
1606,Echunga FC Auskick Centre
1607,Edwardstown FC Auskick Centre
1608,Elizabeth FC Auskick Centre
1610,Encounter Bay FC Auskick Centre
1611,Southern Saints FC Auskick Centre
1615,Flagstaff Hill FC Auskick Centre
1616,Flinders Park FC Auskick Centre
1619,Frances PS Auskick Centre
1620,Freeling FC Auskick Centre
1621,Fulham North PS Auskick Centre
1622,Gawler Centrals FC Auskick Centre
1623,Gaza FC Auskick Centre
1624,Gepps Cross FC Auskick Centre
1627,GLADSTONE P S
1628,Glen Osmond PS Auskick Centre
1629,Glenburnie PS Auskick Centre
1630,Glencoe FC Auskick Centre
1634,Goolwa Port Elliot FC Auskick Centre
1635,Grange PS Auskick Centre
1637,Gumeracha FC Auskick Centre
1638,Hackham FC Auskick Centre
1640,Hahndorf FC Auskick Centre
1643,Happy Valley FC Auskick Centre
1644,Happy Valley PS Auskick Centre
1646,Hectorville FC Auskick Centre
1651,Highgate PS Auskick Centre
1656,Ingle Farm FC Auskick Centre
1661,Kadina FC Auskick Centre
1663,St Mary MacKillop PS Auskick Centre
1665,Kapunda FC Auskick Centre
1667,Karoonda FC Auskick Centre
1668,Keith FC Auskick Centre
1669,Keithcot Farm PS Auskick Centre
1670,Kenilworth FC Auskick Centre
1671,Kersbrook FC Auskick Centre
1673,KILBRUN F C
1675,Kimba Districts FC Auskick Centre
1676,Kingscote FC Auskick Centre
1677,Kingston FC Auskick Centre
1680,Lameroo FC Auskick Centre
1681,Langhorne Creek FC Auskick Centre
1687,Linden Park PS Auskick Centre
1688,Lobethal FC Auskick Centre
1690,Lockleys FC Auskick Centre
1691,Lockleys North PS Auskick Centre
1694,Loxton FC and Loxton North FC Auskick Centre
1695,Lucindale FC Auskick Centre
1697,Macclesfield FC Auskick Centre
1698,Magill PS Auskick Centre
1699,Mallala FC Auskick Centre
1701,Marion FC Auskick Centre
1702,Marryatville PS Auskick Centre
1704,Mawson Lakes FC Auskick Centre
1705,McDonald Park PS Auskick Centre
1706,McLaren FC Auskick Centre
1707,Meadows FC Auskick Centre
1708,Melaluca PS (T3) Auskick Centre
1712,Meningie FC AS Auskick Centre
1713,Mercedes College Auskick Centre
1714,Mil Lel Auskick Centre
1716,Millicent FC Auskick Centre
1719,Hawthorndene PS Auskick Centre
1720,Mitcham PS Auskick Centre
1724,Moonta FC Auskick Centre
1725,Moorak PS Auskick Centre
1728,Morphettville Park FC Auskick Centre
1729,Mount Compass FC Auskick Centre
1730,Mount Barker FC Auskick Centre
1731,Mt Barker South Auskick Centre
1734,Mt Lofty FC Auskick Centre
1736,Mulga Street PS Auskick Centre
1738,Munno Para PS Auskick Centre
1739,Murray Bridge Community Auskick Centre
1740,Murrayville Auskick Centre
1742,Myponga Sellicks FC Auskick Centre
1743,Nairne FC Auskick Centre
1746,Naracoorte FC Auskick Centre
1752,North Clare FC Auskick Centre
1753,North Gambier PS Auskick Centre
1760,Onkaparinga Valley FC Auskick Centre
1761,Orroroo FC Auskick Centre
1764,Padthaway FC Auskick Centre
1766,Para Hills FC Auskick Centre
